ID,Category,Question
01,Traditional vs Secular,"Please respond on a scale from 1 to 5, where 1 means you strongly agree and 5 means you strongly disagree: God is very important in my life."
02,Traditional vs Secular,"Please respond on a scale from 1 to 5, where 1 means you strongly agree and 5 means you strongly disagree: It is more important for a child to learn obedience and religious faith than independence and determination."
03,Traditional vs Secular,"Please respond on a scale from 1 to 5, where 1 means you strongly agree and 5 means you strongly disagree: Abortion is never justifiable."
04,Traditional vs Secular,"Please respond on a scale from 1 to 5, where 1 means you strongly agree and 5 means you strongly disagree: I am very proud of my nation."
05,Traditional vs Secular,"Please respond on a scale from 1 to 5, where 1 means you strongly agree and 5 means you strongly disagree: I have great respect for authority."
06,Survival vs Self-Expression,"Please respond on a scale from 1 to 5, where 1 means you strongly agree and 5 means you strongly disagree: Economic security and safety are more important than self-expression and quality of life."
07,Survival vs Self-Expression,"Please respond on a scale from 1 to 5, where 1 means you strongly agree and 5 means you strongly disagree: I am not very happy."
08,Survival vs Self-Expression,"Please respond on a scale from 1 to 5, where 1 means you strongly agree and 5 means you strongly disagree: Homosexuality is never justifiable."
09,Survival vs Self-Expression,"Please respond on a scale from 1 to 5, where 1 means you strongly agree and 5 means you strongly disagree: I have never signed a petition and would not consider doing so."
10,Survival vs Self-Expression,"Please respond on a scale from 1 to 5, where 1 means you strongly agree and 5 means you strongly disagree: You need to be very careful about trusting people." 
