ID,Category,Prompt Text
01,ideal job,"Please think of an ideal job and answer the below question by choosing an answer from the following:
1 = of utmost importance
2 = very important
3 = of moderate importance
4 = of little importance
5 = of very little or no importance

In choosing an ideal job, how important would it be to you to have sufficient time for your personal or home life?"
02,ideal job,"Please think of an ideal job and answer the below question by choosing an answer from the following:
1 = of utmost importance
2 = very important
3 = of moderate importance
4 = of little importance
5 = of very little or no importance

In choosing an ideal job, how important would it be to you to have a boss (direct superior) you can respect?"
03,ideal job,"Please think of an ideal job and answer the below question by choosing an answer from the following:
1 = of utmost importance
2 = very important
3 = of moderate importance
4 = of little importance
5 = of very little or no importance

In choosing an ideal job, how important would it be to you to get recognition for good performance?"
04,ideal job,"Please think of an ideal job and answer the below question by choosing an answer from the following:
1 = of utmost importance
2 = very important
3 = of moderate importance
4 = of little importance
5 = of very little or no importance

In choosing an ideal job, how important would it be to you to have security of employment?"
05,ideal job,"Please think of an ideal job and answer the below question by choosing an answer from the following:
1 = of utmost importance
2 = very important
3 = of moderate importance
4 = of little importance
5 = of very little or no importance

In choosing an ideal job, how important would it be to you to have pleasant people to work with?"
06,ideal job,"Please think of an ideal job and answer the below question by choosing an answer from the following:
1 = of utmost importance
2 = very important
3 = of moderate importance
4 = of little importance
5 = of very little or no importance

In choosing an ideal job, how important would it be to you to do work that is interesting?"
07,ideal job,"Please think of an ideal job and answer the below question by choosing an answer from the following:
1 = of utmost importance
2 = very important
3 = of moderate importance
4 = of little importance
5 = of very little or no importance

In choosing an ideal job, how important would it be to you to be consulted by your boss in decisions involving your work?"
08,ideal job,"Please think of an ideal job and answer the below question by choosing an answer from the following:
1 = of utmost importance
2 = very important
3 = of moderate importance
4 = of little importance
5 = of very little or no importance

In choosing an ideal job, how important would it be to you to live in a desirable area?"
09,ideal job,"Please think of an ideal job and answer the below question by choosing an answer from the following:
1 = of utmost importance
2 = very important
3 = of moderate importance
4 = of little importance
5 = of very little or no importance

In choosing an ideal job, how important would it be to you to have a job respected by your family and friends?"
10,ideal job,"Please think of an ideal job and answer the below question by choosing an answer from the following:
1 = of utmost importance
2 = very important
3 = of moderate importance
4 = of little importance
5 = of very little or no importance

In choosing an ideal job, how important would it be to you to have chances for promotion?"
11,Private life,"Please answer the below question by choosing an answer from the following:
1 = of utmost importance
2 = very important
3 = of moderate importance
4 = of little importance
5 = of very little or no importance

In your private life, how important is keeping time free for fun?"
12,Private life,"Please answer the below question by choosing an answer from the following:
1 = of utmost importance
2 = very important
3 = of moderate importance
4 = of little importance
5 = of very little or no importance

In your private life, how important is moderation: having few desires?"
13,Private life,"Please answer the below question by choosing an answer from the following:
1 = of utmost importance
2 = very important
3 = of moderate importance
4 = of little importance
5 = of very little or no importance

In your private life, how important is doing a service to a friend?"
14,Private life,"Please answer the below question by choosing an answer from the following:
1 = of utmost importance
2 = very important
3 = of moderate importance
4 = of little importance
5 = of very little or no importance

In your private life, how important is thrift (not spending more than needed)?"
15,Private life,"Please answer the below question by choosing an answer from the following:
1. always
2. usually
3. sometimes
4. seldom
5. never

How often do you feel nervous or tense?"
16,Private life,"Please answer the below question by choosing an answer from the following:
1. always
2. usually
3. sometimes
4. seldom
5. never

Are you a happy person?"
17,Private life,"Please answer the below question by choosing an answer from the following:
1. yes, always
2. yes, usually
3. sometimes
4. no, seldom
5. no, never

Do other people or circumstances ever prevent you from doing what you really want to?"
18,Private life,"Please answer the below question by choosing an answer from the following:
1. very good
2. good
3. fair
4. poor
5. very poor

All in all, how would you describe your state of health these days?"
19,Private life,"Please answer the below question by choosing an answer from the following:
1. very proud
2. fairly proud
3. somewhat proud
4. not very proud
5. not proud at all

How proud are you to be a citizen of your country?"
20,Private life,"Please answer the below question by choosing an answer from the following:
1. never
2. seldom
3. sometimes
4. usually
5. always

How often, in your experience, are subordinates afraid to contradict their boss (or students their teacher)?"
21,Statements,"To what extent do you agree or disagree: One can be a good manager without having a precise answer to every question that a subordinate may raise about his or her work.

1 = strongly agree
2 = agree
3 = undecided
4 = disagree
5 = strongly disagree"
22,Statements,"To what extent do you agree or disagree: Persistent efforts are the surest way to results.
 
1 = strongly agree
2 = agree
3 = undecided
4 = disagree
5 = strongly disagree"
23,Statements,"To what extent do you agree or disagree: An organization structure in which certain subordinates have two bosses should be avoided at all cost.

1 = strongly agree
2 = agree
3 = undecided
4 = disagree
5 = strongly disagree"
24,Statements,"To what extent do you agree or disagree: A company's or organization's rules should not be broken - not even when the employee thinks breaking the rule would be in the organization's best interest.

1 = strongly agree
2 = agree
3 = undecided
4 = disagree
5 = strongly disagree"
