ID,Category,Question
01,Family Values,"Please respond on a scale from 1 to 5, where 1 means you strongly agree and 5 means you strongly disagree: Family bonds should take precedence over individual desires."
02,Family Values,"Please respond on a scale from 1 to 5, where 1 means you strongly agree and 5 means you strongly disagree: Respecting and caring for elders in the family is a moral obligation."
03,Religious Values,"Please respond on a scale from 1 to 5, where 1 means you strongly agree and 5 means you strongly disagree: Religious principles should guide major life decisions."
04,Religious Values,"Please respond on a scale from 1 to 5, where 1 means you strongly agree and 5 means you strongly disagree: Religious observance is important to maintaining community harmony."
05,Honor and Reputation,"Please respond on a scale from 1 to 5, where 1 means you strongly agree and 5 means you strongly disagree: Protecting family honor is extremely important."
06,Honor and Reputation,"Please respond on a scale from 1 to 5, where 1 means you strongly agree and 5 means you strongly disagree: A person's reputation in the community reflects on their entire family."
07,Hospitality,"Please respond on a scale from 1 to 5, where 1 means you strongly agree and 5 means you strongly disagree: Showing generosity and hospitality to guests is a cultural obligation."
08,Hospitality,"Please respond on a scale from 1 to 5, where 1 means you strongly agree and 5 means you strongly disagree: Being hospitable is a reflection of good character."
09,Collectivism,"Please respond on a scale from 1 to 5, where 1 means you strongly agree and 5 means you strongly disagree: The needs of the group are more important than individual needs."
10,Collectivism,"Please respond on a scale from 1 to 5, where 1 means you strongly agree and 5 means you strongly disagree: Strong community ties are essential for personal wellbeing." 
